voornaam,achternaam,student_nummer
Arthur,Schell,2646121
Eric,Leach,3073539
Allen,Waites,2975575
Tony,Andrew,7078004
Curtis,Lloyd,1446109
Thomas,Kennedy,2726225
Stephen,Wirkkala,2628626
Larry,Madison,6515018
Jordan,Aldrich,5351404
Matthew,Oreilly,7510167
Jennifer,Crow,6928089
Juanita,Turner,8540608
Bernice,Stanley,4032905
Catherine,Carl,2959799
Heidi,Jenkins,2371780
Phyliss,Hurley,4515722
Lois,Espinoza,9535774
Jennifer,Horn,9209612
Gina,Johnson,8870046
Etta,Taylor,5551288
Charles,Whatoname,4971920
Barney,Smith,6069034
Nathan,Davenport,8952542
Richard,Hughes,1876312
Ivan,Lewter,3122748
Thomas,Cox,3479264
Michael,Hottel,7769242
Michael,Suk,1133486
Timothy,Vandenberge,8259189
Angel,Baker,5738890
Helen,Sneed,8233753
Amalia,Skinner,9337902
Colleen,Hall,9456808
Shirley,William,7346701
Jill,White,1386327
Laura,Thompson,7165473
Linda,Johnson,5950394
Angela,Holland,1930659
Nina,Anderson,2002949
Sharon,Vandestreek,9884764
