voornaam,achternaam,student_nummer
Randall,Moore,3345101
Arthur,Sheridan,8296677
Curtis,Vanfleet,1894961
William,Rebuck,1613097
Tommie,Titus,8953376
David,Kopecky,3243201
Walter,Barry,2853594
William,Campbell,9689463
Johnnie,Bowers,8698355
Joel,Kelley,2159678
Beverly,Land,9885876
Mary,Cheeseman,3821416
Robin,White,3431887
Vincenza,Vala,5893392
Amy,Frye,7148173
Christine,Lieder,6250684
Florence,Mcguire,5446275
Tasha,Long,6619995
Claudette,Glenn,9306027
Mary,Garcia,9833864
Norman,Wilkins,5345583
Sylvester,Mcwhirter,8903993
Terry,Pittman,9776241
Justin,Clark,5304750
Anthony,Sandoval,8436919
Major,Mederios,2253095
James,Williamson,6126808
Antonio,Dixon,5867047
Travis,Gray,2628288
Don,Applebaum,4577854
Eleanor,Bates,2178086
Judy,Runions,7489147
Jose,Carr,4570556
Nancy,Morrell,7236557
Alma,Wilcher,7974350
Shelley,Weiss,2758934
Tony,Williams,1600442
Valerie,Baker,3419656
Gloria,Jolissaint,1333395
Nelda,Kornfeld,6149126
