voornaam,achternaam,student_nummer
Keven,Donnell,2931961
Donald,Burch,2257040
David,Kinsler,4128282
John,Moore,3195983
John,Daigle,2901743
Ralph,Lee,6275520
Matthew,Kincer,6960291
William,Freeman,4117630
Kevin,Greenwood,1329162
Michael,Jacobs,3475347
Michelle,Hurley,1044786
Ivette,Wilson,7795663
Karen,Grambo,9775845
Sherry,Waldron,9428130
Doris,White,6871993
Gloria,White,8419203
Mary,Golden,7205254
Yolanda,Riner,7393396
Hester,Carpenter,5540248
Alberta,Perry,3711294
John,Pratka,3549831
David,Banks,6823154
Charles,Obrien,4289724
Jonathan,Brennan,7955677
Edwin,Baiz,1455593
Matthew,Burkhart,2200933
Wayne,Hall,4805287
Warren,Petersen,2410919
Timothy,Jennings,1808700
Jeff,Bright,5109736
Ruth,Sou,1277318
Ann,Chandler,4419527
Julie,Lyons,1401978
Tanya,Roughton,1353341
Guadalupe,Stiltner,9236882
Jeri,Hodge,8676961
Martha,Glenn,4652088
Alyson,Mcbee,1415490
Danielle,Drish,9744097
Ada,Wright,1269044
